Name;spectrum_20140711_1648520.csv;spectrum_20140711_1648538.csv;spectrum_20140711_1648545.csv;spectrum_20140711_1648551.csv;spectrum_20140711_1648554.csv;spectrum_20140711_1649482.csv;spectrum_20140711_1649491.csv;spectrum_20140711_1649508.csv;spectrum_20140711_1649516.csv;spectrum_20140711_1649523.csv;spectrum_20140711_1650098.csv;spectrum_20140711_1650106.csv;spectrum_20140711_1650113.csv;spectrum_20140711_1650232.csv;spectrum_20140711_1650241.csv;spectrum_20140711_1650289.csv;spectrum_20140711_1650298.csv;spectrum_20140711_1650306.csv;spectrum_20140711_1650312.csv;spectrum_20140711_1650314.csv;spectrum_20140711_1650511.csv;spectrum_20140711_1650522.csv;spectrum_20140711_1650530.csv;spectrum_20140711_1650599.csv;spectrum_20140711_1651047.csv;spectrum_20140711_1651092.csv;spectrum_20140711_1651102.csv;spectrum_20140711_1651199.csv;spectrum_20140711_1651215.csv;spectrum_20140711_1651264.csv;spectrum_20140711_1651297.csv;spectrum_20140711_1651305.csv;spectrum_20140711_1651314.csv;spectrum_20140711_1651323.csv
Time;20140711_1648520;20140711_1648538;20140711_1648545;20140711_1648551;20140711_1648554;20140711_1649482;20140711_1649491;20140711_1649508;20140711_1649516;20140711_1649523;20140711_1650098;20140711_1650106;20140711_1650113;20140711_1650232;20140711_1650241;20140711_1650289;20140711_1650298;20140711_1650306;20140711_1650312;20140711_1650314;20140711_1650511;20140711_1650522;20140711_1650530;20140711_1650599;20140711_1651047;20140711_1651092;20140711_1651102;20140711_1651199;20140711_1651215;20140711_1651264;20140711_1651297;20140711_1651305;20140711_1651314;20140711_1651323
IT;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788
746.97;0.11882403;0.11395904;0.07612707;0.4352679;0.43419933;0.17961101;0.29847926;0.3468423;0.3240975;0.34813076;0.36688572;0.37783614;0.22159328;0.24948256;0.42304036;0.45832703;0.4073493;0.3853456;0.434685;0.43490055;0.4756432;0.43163097;0.41995698;0.44154102;0.26442462;0.36719942;0.3881834;0.41380638;0.394223;0.3897944;0.3574219;0.22105503;0.40471286;0.378023
747.46;0.11915986;0.115259804;0.07709152;0.43600377;0.4354658;0.18051618;0.29934105;0.35117504;0.3291302;0.35175475;0.37228093;0.38138366;0.22428444;0.25226054;0.42769176;0.46472982;0.41186124;0.3906752;0.43907383;0.4407174;0.48231867;0.43770608;0.4250661;0.44625753;0.26719362;0.37234208;0.39199758;0.4197382;0.40133715;0.39392224;0.3635511;0.22347255;0.4114851;0.3838871
747.95;0.11912712;0.1159995;0.07716659;0.43612275;0.43504572;0.17987184;0.29965416;0.35341313;0.32947618;0.35412917;0.3756696;0.386051;0.22566693;0.25199106;0.4322072;0.46794158;0.41513976;0.39363644;0.44351992;0.4447402;0.48511255;0.44043213;0.4287456;0.4516012;0.2677761;0.37620315;0.39509872;0.42372403;0.40458295;0.39828646;0.3662717;0.22563007;0.41468713;0.38558462
748.43;0.11908637;0.11544488;0.07578665;0.43472338;0.43311417;0.18004407;0.29978013;0.35682958;0.33242413;0.35601068;0.3785017;0.3858889;0.22646935;0.25398535;0.43475747;0.47194386;0.4165268;0.3959106;0.44629425;0.4470749;0.4882386;0.44510117;0.4318592;0.45367447;0.2690001;0.37749434;0.39605227;0.42633736;0.4066043;0.40222216;0.3662308;0.22621204;0.41689453;0.38893652
748.92;0.11940835;0.1146566;0.07664494;0.4343627;0.43370837;0.18025173;0.30048105;0.3601556;0.33503905;0.3597102;0.37954065;0.38990662;0.22745511;0.2549179;0.43817368;0.4765197;0.4216876;0.3991607;0.44978207;0.4488699;0.49419335;0.4485363;0.43581852;0.4571347;0.27189443;0.38046458;0.4014718;0.43210995;0.4116012;0.4042287;0.371181;0.22828;0.4202193;0.3927747
749.41;0.11936037;0.11546874;0.07728572;0.4350875;0.4332291;0.18090874;0.3006119;0.3619921;0.33774233;0.36104313;0.38564768;0.3936755;0.23005013;0.25815058;0.4420753;0.4814554;0.42489773;0.40275344;0.45440766;0.455447;0.49857026;0.45411983;0.43900636;0.46023402;0.27296975;0.38469422;0.4044141;0.4327488;0.4164182;0.4091163;0.3730502;0.23006916;0.42549005;0.39715287
749.89;0.118563026;0.11464159;0.07680304;0.4350747;0.43442196;0.17997256;0.29893667;0.36352783;0.3382582;0.36343476;0.38787043;0.39582965;0.23101905;0.25862905;0.44607678;0.48509848;0.42895517;0.40415713;0.4569439;0.45867997;0.5015857;0.45644408;0.44079792;0.461998;0.27357504;0.3856127;0.40663272;0.43757787;0.4165392;0.4097906;0.37530357;0.23062204;0.4270108;0.39701962
750.38;0.120277055;0.11614363;0.075821154;0.43523195;0.43402967;0.1799818;0.3011093;0.36559582;0.34122676;0.36614108;0.39032114;0.39718813;0.23080474;0.2602213;0.4493757;0.48812652;0.43213716;0.40862042;0.46062508;0.46167728;0.5037933;0.46002024;0.444774;0.4673566;0.27533406;0.3890322;0.4101531;0.44259056;0.4209196;0.41502002;0.37939972;0.23269452;0.4312211;0.4014363
750.87;0.12045356;0.115199685;0.0763922;0.4351497;0.43447983;0.18024966;0.30076367;0.3693461;0.34383893;0.3699738;0.393853;0.402366;0.23259777;0.26197955;0.45153272;0.49104056;0.43481073;0.4116061;0.4645161;0.46523884;0.5099826;0.46405232;0.44965422;0.46874756;0.27755564;0.39246282;0.4133256;0.4463813;0.42553046;0.4180273;0.38210237;0.23397154;0.4339603;0.40389308
751.35;0.11992578;0.11566975;0.076547705;0.4358919;0.43477553;0.18181616;0.30060178;0.3710784;0.34527165;0.37113288;0.39540973;0.40341648;0.23355362;0.26247105;0.4542216;0.49528098;0.4377255;0.41355714;0.46704733;0.46777242;0.51334983;0.46467984;0.45297405;0.47099563;0.27835968;0.39593807;0.41498715;0.4486216;0.42932263;0.4203562;0.3835659;0.23553334;0.43714052;0.40665638
