Name;spectrum_20140711_1722139.csv;spectrum_20140711_1722141.csv;spectrum_20140711_1722159.csv;spectrum_20140711_1722161.csv;spectrum_20140711_1722178.csv
Time;20140711_1722139;20140711_1722141;20140711_1722159;20140711_1722161;20140711_1722178
769.89;0.7980957;0.047729984;0.04678131;0.04612176;0.047759105
770.38;0.80261153;0.04842654;0.04789394;0.04861942;0.049468126
770.87;0.81245244;0.049062088;0.048577286;0.048130322;0.050508715
771.36;0.8356254;0.049329128;0.04887337;0.048291713;0.050589774
771.85;0.838041;0.051737286;0.050438825;0.049102265;0.051266707
772.34;0.8463715;0.05109345;0.050491594;0.049552977;0.052227456
772.83;0.860641;0.05199435;0.052452855;0.05191151;0.054336134
773.31;0.84576184;0.04967877;0.05005094;0.048977364;0.05096159
773.8;0.8475604;0.050181895;0.05032192;0.04972013;0.05106953
774.29;0.86440754;0.05083251;0.051358562;0.05024109;0.053299073
774.78;0.851391;0.051737625;0.05132602;0.050227374;0.05316782
775.27;0.85010487;0.05124002;0.050807424;0.050387137;0.05285476
775.76;0.85356104;0.051248975;0.051894423;0.050748274;0.05270212
776.25;0.8695562;0.05273913;0.05292778;0.05181871;0.053359292
776.74;0.8466773;0.04855133;0.0493364;0.04813066;0.05075457
777.23;0.8611431;0.050537236;0.050872367;0.0503039;0.052843835
777.72;0.8535824;0.05141758;0.050572727;0.050488926;0.053056106
778.21;0.8550879;0.051965773;0.05191374;0.05067323;0.052569434
778.69;0.85120213;0.048376653;0.047768727;0.046338446;0.04896144
779.18;0.8668176;0.05248172;0.051957592;0.05155845;0.05396701
779.67;0.86703676;0.052786265;0.051882796;0.051965058;0.05439568
780.16;0.8622775;0.051412694;0.051378433;0.050756983;0.052705113
780.65;0.86397463;0.05217828;0.05134959;0.050750393;0.053094007
781.14;0.8730343;0.052709013;0.052714713;0.05168463;0.053824987
781.63;0.86699617;0.051605027;0.05181155;0.051004235;0.053683303
782.12;0.8796281;0.053548977;0.053890407;0.053002723;0.055308413
782.61;0.86261386;0.05350195;0.053602118;0.05208072;0.054649122
783.1;0.8686885;0.05238689;0.051992107;0.051189363;0.0533798
783.59;0.8877273;0.053323776;0.053628888;0.051841732;0.055186007
784.08;0.8687326;0.053331967;0.053367864;0.052368954;0.05420195
784.57;0.8895896;0.05423552;0.054793753;0.053095028;0.055735923
785.06;0.8899474;0.053604502;0.05479558;0.05281354;0.056699075
785.55;0.88865477;0.054363873;0.054775212;0.05218256;0.05554249
786.04;0.8787302;0.052492637;0.053588156;0.051387474;0.054410983
786.53;0.89006007;0.053126816;0.05321855;0.052016888;0.05458528
787.02;0.8916197;0.05379692;0.053246837;0.052853532;0.055679217
787.51;0.89325;0.053422906;0.053903196;0.052310865;0.05433898
788;0.9014337;0.055373795;0.0539945;0.05315237;0.055568315
788.49;0.89255637;0.05439427;0.054075245;0.052521836;0.056436736
788.98;0.90416276;0.053941485;0.053554926;0.052629072;0.05654656
789.47;0.8939817;0.054244053;0.053477805;0.052984577;0.055690724
789.96;0.9099594;0.05517549;0.0552925;0.054975424;0.056221314
790.45;0.896732;0.05479907;0.054562066;0.053822193;0.05565525
790.94;0.896035;0.054654427;0.05409297;0.052529767;0.05574418
791.43;0.89095646;0.053268235;0.05371217;0.052526385;0.055250287
791.92;0.8941668;0.0540261;0.054563697;0.05337462;0.056033723
792.41;0.8937046;0.053722598;0.05389154;0.053153142;0.05546715
792.91;0.9082876;0.05653251;0.055832386;0.054554157;0.056928687
793.4;0.89445186;0.054797497;0.055294115;0.053997945;0.057072442
793.89;0.8927629;0.054256145;0.053933594;0.05367276;0.055967186
794.38;0.8949237;0.05452319;0.053899728;0.053507347;0.055775728
794.87;0.88879246;0.055081744;0.0551284;0.054489613;0.05633733
795.36;0.8878355;0.054024637;0.05492542;0.053152006;0.05624871
795.85;0.88947374;0.052121315;0.05355514;0.051452972;0.054460086
796.34;0.87093437;0.051986795;0.05247828;0.051223397;0.054079935
796.83;0.8852777;0.053741515;0.053672176;0.052883055;0.05502461
797.32;0.88099235;0.053204373;0.052262247;0.051135987;0.053244796
797.81;0.8905645;0.05363033;0.054181572;0.052737016;0.05612539
798.3;0.88856876;0.051677734;0.053086046;0.052410807;0.055828746
798.8;0.88545895;0.05309006;0.05312575;0.05316222;0.05523856
799.29;0.89472675;0.055213936;0.055156466;0.05447463;0.05651404
799.78;0.901155;0.054255154;0.055133723;0.053059094;0.05702394
800.27;0.90515214;0.05521491;0.055676647;0.052866027;0.057538565
800.76;0.9094014;0.05573693;0.057077877;0.05466061;0.05692761
801.25;0.9085007;0.055608783;0.05556341;0.05506816;0.057218395
801.74;0.899494;0.055038646;0.054174647;0.054383192;0.056293048
802.24;0.90101707;0.054069266;0.054860022;0.0535196;0.05727395
802.73;0.90376306;0.053544477;0.0549763;0.05303618;0.055912893
803.22;0.9017774;0.05573598;0.05603181;0.053828087;0.057214048
803.71;0.90371627;0.056401785;0.056367133;0.054992095;0.058420755
804.2;0.90245044;0.05594078;0.05565139;0.054241765;0.05721558
804.69;0.8967449;0.055592407;0.05492994;0.053571854;0.056621097
805.18;0.89882094;0.054193337;0.054578494;0.052937586;0.05718379
805.68;0.9021077;0.05589741;0.056704268;0.05543302;0.058854196
806.17;0.9022352;0.055976182;0.056689713;0.056483727;0.057689004
806.66;0.9058061;0.057357475;0.056838643;0.056469474;0.05730901
807.15;0.9077798;0.05662818;0.056608684;0.054823793;0.05750446
807.64;0.9204722;0.056870632;0.056510575;0.056094132;0.058437508
808.14;0.92122734;0.056136865;0.056745335;0.055790238;0.058214903
808.63;0.9315559;0.05760087;0.057989754;0.056832843;0.059514634
809.12;0.93419397;0.057703126;0.05794237;0.056003302;0.05773694
809.61;0.9430517;0.057335384;0.056609005;0.056597557;0.059013575
810.1;0.94624543;0.059196282;0.058873434;0.058186732;0.06086975
810.6;0.94648993;0.059534192;0.058721542;0.057742923;0.061034538
811.09;0.9599716;0.059794314;0.05963914;0.059012298;0.061750095
811.58;0.95589036;0.060629375;0.060040075;0.059104927;0.06060302
812.07;0.9619672;0.061515663;0.05950006;0.058795776;0.062751085
812.56;0.9752355;0.060175095;0.061044138;0.059438553;0.06322401
813.06;0.98660934;0.060321987;0.061320927;0.060098372;0.0632633
813.55;1.0013309;0.061043516;0.06300153;0.060577385;0.064636886
814.04;1.0222249;0.064328745;0.064068414;0.061907332;0.06537921
814.53;1.0206995;0.06365618;0.062971994;0.061862726;0.06580733
815.03;1.0083858;0.06346298;0.063460186;0.06291345;0.06489953
815.52;1.0023619;0.06393226;0.06445866;0.06345196;0.0651198
816.01;0.9766995;0.057474963;0.05795227;0.05718298;0.05808524
816.5;0.94981927;0.058141977;0.057022125;0.055270717;0.05795889
817;0.9454114;0.060570944;0.060255453;0.057904948;0.061216652
817.49;0.9290321;0.05855683;0.058047853;0.05780321;0.05980318
817.98;0.90915364;0.05404323;0.054119036;0.055134248;0.056745958
818.48;0.89799243;0.055188667;0.055936765;0.054263398;0.05741384
818.97;0.8679778;0.05316625;0.052951653;0.05254173;0.055150777
819.46;0.8699557;0.053946722;0.053872533;0.053095415;0.05551668
819.95;0.8761559;0.0555746;0.05507789;0.053508196;0.05631013
820.45;0.8460848;0.05334888;0.05336643;0.054132935;0.053982988
820.94;0.86006415;0.053989224;0.05491538;0.05379374;0.054846425
