Name;spectrum_20140711_1722139,csv;spectrum_20140711_1722141,csv;;;;;;;;;;;;;;;;
Time;20140711_1722139;20140711_1722141;;;;Configuración 1;Tolerancia;0,08;;;;;Configuración 2;Tolerancia;0,08;;;
400,81;0,389232;0,051695444;;;;;;;;;;;;;;;;
401,27;0,39872167;0,055280108;;;;;;;;;;;;;;;;
401,73;0,39164162;0,053458035;;;;;;;;;;;;;;;;
402,19;0,3847471;0,051446356;;;;;;;;;;;;;;;;
402,65;0,38528407;0,05149126;;;;;;;;;;;;;;;;
403,11;0,39755067;0,053668372;;;;;;;;;;;;;;;;
403,57;0,39131334;0,051888093;;;;;;;;;;;;;;;;
404,02;0,39116377;0,051073696;;;;;;;;;;;;;;;;
404,48;0,39047894;0,049724013;;;;;;;;;;;;;;;;
404,94;0,38640514;0,047705498;;;;;;;;;;;;;;;;
405,4;0,3906531;0,047039073;;;;;;;;;;;;;;;;
405,86;0,38857737;0,046478122;;;;;;;;;;;;;;;;
406,32;0,39364323;0,045640174;;;;;;;;;;;;;;;;
406,78;0,39333868;0,044090692;;;;;;;;;;;;;;;;
407,24;0,38815966;0,04230296;;;;;;;;;;;;;;;;
407,7;0,3902858;0,04215554;;;;;;;;;;;;;;;;
408,16;0,3994178;0,042915914;;;;;;;;;;;;;;;;
408,61;0,4098993;0,04373128;;;;;;;;;;;;;;;;
409,07;0,40855938;0,0417251;;;;;;;;;;;;;;;;
409,53;0,40726444;0,040178444;;;;;;;;;;;;;;;;
409,99;0,4172153;0,04124334;;;;;;;;;;;;;;;;
410,45;0,4178823;0,040960405;;;;;;;;;;;;;;;;
410,91;0,4042301;0,038698863;;;;;;;;;;;;;;;;
411,37;0,4012597;0,036525212;;;;;;;;;;;;;;;;
411,83;0,40132168;0,036103;;;;;;;;;;;;;;;;
412,29;0,40298545;0,03609947;;;;;;;;;;;;;;;;
412,75;0,4028913;0,03576969;;;;;;;;;;;;;;;;
413,21;0,40916705;0,036474656;;;;;;;;;;;;;;;;
413,67;0,41744626;0,03702852;;;;;;;;;;;;;;;;
414,13;0,4047061;0,03329241;;;;;;;;;;;;;;;;
414,59;0,40395194;0,033025604;;;;;;;;;;;;;;;;
415,05;0,41590774;0,034631386;;;;;;;;;;;;;;;;
415,51;0,41106036;0,033305384;;;;;;;;;;;;;;;;
415,97;0,4200026;0,03338957;;;;;;;;;;;;;;;;
416,43;0,43405536;0,033682004;;;;;;;;;;;;;;;;
416,89;0,43507698;0,03385603;;;;;;;;;;;;;;;;
417,35;0,43883798;0,033165116;;;;;;;;;;;;;;;;
417,81;0,44762576;0,033793073;;;;;;;;;;;;;;;;
418,27;0,44624078;0,034117308;;;;;;;;;;;;;;;;
418,73;0,4505042;0,03421777;;;;;;;;;;;;;;;;
419,19;0,44737375;0,032283522;;;;;;;;;;;;;;;;
419,65;0,4374831;0,031092329;;;;;;;;;;;;;;;;
420,11;0,44546935;0,03156753;;;;;;;;;;;;;;;;
420,57;0,448394;0,032072052;;;;;;;;;;;;;;;;
421,03;0,443493;0,03084102;;;;;;;;;;;;;;;;
421,49;0,44697657;0,030506603;;;;;;;;;;;;;;;;
421,95;0,45302585;0,0319937;;;;;;;;;;;;;;;;
422,41;0,44182742;0,030827487;;;;;;;;;;;;;;;;
422,87;0,4540067;0,031280857;;;;;;;;;;;;;;;;
423,33;0,4429658;0,029966127;;;;;;;;;;;;;;;;
423,79;0,43498027;0,029222416;;;;;;;;;;;;;;;;
424,25;0,42522514;0,029138863;;;;;;;;;;;;;;;;
424,71;0,42205518;0,029094677;;;;;;;;;;;;;;;;
425,17;0,43555734;0,029431876;;;;;;;;;;;;;;;;
425,63;0,44404122;0,029642135;;;;;;;;;;;;;;;;
426,09;0,43663606;0,02937341;;;;;;;;;;;;;;;;
426,55;0,43229198;0,028150586;;;;;;;;;;;;;;;;
427,01;0,4447634;0,028428255;;;;;;;;;;;;;;;;
427,47;0,44371215;0,02851561;;;;;;;;;;;;;;;;
427,93;0,4396064;0,029000271;;;;;;;;;;;;;;;;
428,39;0,45912215;0,030508148;;;;;;;;;;;;;;;;
428,85;0,47232682;0,030417804;;;;;;;;;;;;;;;;
429,32;0,4826629;0,030128112;;;;;;;;;;;;;;;;
429,78;0,47581682;0,030075125;;;;;;;;;;;;;;;;
430,24;0,4543234;0,02820906;;;;;;;;;;;;;;;;
430,7;0,4421153;0,027547665;;;;;;;;;;;;;;;;
431,16;0,42417163;0,025462668;;;;;;;;;;;;;;;;
431,62;0,4028571;0,02438747;;;;;;;;;;;;;;;;
432,08;0,40200916;0,025057392;;;;;;;;;;;;;;;;
432,54;0,41434407;0,025777332;;;;;;;;;;;;;;;;
433;0,43113977;0,026817532;;;;;;;;;;;;;;;;
433,46;0,43658254;0,02733846;;;;;;;;;;;;;;;;
433,93;0,43387055;0,02737173;;;;;;;;;;;;;;;;
434,39;0,42659488;0,026126023;;;;;;;;;;;;;;;;
434,85;0,42447612;0,02645536;;;;;;;;;;;;;;;;
435,31;0,41964835;0,025889672;;;;;;;;;;;;;;;;
435,77;0,4178704;0,02573862;;;;;;;;;;;;;;;;
436,23;0,42067906;0,026105033;;;;;;;;;;;;;;;;
436,69;0,43017858;0,026681151;;;;;;;;;;;;;;;;
437,15;0,45233345;0,027566692;;;;;;;;;;;;;;;;
437,62;0,45402068;0,027130822;;;;;;;;;;;;;;;;
438,08;0,45357853;0,027276726;;;;;;;;;;;;;;;;
438,54;0,45589104;0,027553856;;;;;;;;;;;;;;;;
